Timestamp,Score,How old are you?,What gender are you? (optional),At what age were you first regularly responsible for managing your own money? e.g. through pocket money/ allowances ,Were earnings ever conditional prior to 16 e.g. chores? (Select not applicable if you selected the last option in the previous question),Did you regularly check bank statements before the age of 16?  ,"Were you taught any financial education before 16?  e.g. money management, interest rates,  budgeting templates, basics of investing",How often did your parents/carers discuss money management with you before age 16?  ,"Do you recall regularly using financial skills in practice before 18? e.g. budgeting, saving, investing (If yes, please specify example/s next to other)",I feel confident managing my finances,I feel prepared for unexpected financial expenses,I try to set money aside in case of an emergency,I prioritise keeping 3-6 months of wages in an emergency fund,I feel capable of making informed financial decisions,I regularly keep track of my income and spending,I usually plan ahead before making large purchases,I save money on a regular basis ,I set clear financial goals for myself ,"Suppose you put £100 into a savings account with a guaranteed interest rate of 2% per year, compounded annually. You don’t make any further payments and you don’t withdraw any money. After 5 years, how much do you think would be in the account?",How confident are you about the previous answer submitted? ,Does inflation increase or decrease purchasing power?,How confident are you about the previous answer submitted?,Which generally poses the biggest risk,How confident are you about the previous answer submitted?,"A savings account earns 3% interest per year, while inflation is 5% per year. After one year, what is most likely to happen to the purchasing power of the money in the account?  ",How confident are you about the previous answer submitted?,"If your monthly income is £3,200 and your expenses average £2,800, what does this indicate about your cashflow?",How confident are you about the previous answer submitted?,What is a blockchain?,How confident are you about the previous answer submitted?,Which debt usually has the highest interest rate?,How confident are you about the previous answer submitted?,What does APR stand for?,How confident are you about the previous answer submitted?,Why is net income considered more useful than gross income for managing personal budget?,How confident are you about the previous answer submitted?,What is compound interest?,How confident are you about the previous answer submitted?
5/19/2026 11:07:49,50 / 50,18-24,Female,I did not regularly manage money until after 16 (e.g. through paid work),Not applicable / I did not receive a type of regular pocket money before 16,No,"No, not specifically",Never,"Yes, Saved up from my summer job",3,3,4,3,3,3,4,4,2,More than £110,5,Decrease,5,Investing in a single company stock,5,It will decrease,5,You have positive cash flow,4,Decentralized digital ledger used to track data,5,Credit card debt,3,Annual Percentage Rate,4,It shows the actual earnings available after taxes and deductions,4,Interest earned on both the original amount an previous interest added,5
5/19/2026 11:22:58,45 / 50,25-34,Male,I did not regularly manage money until after 16 (e.g. through paid work),Not applicable / I did not receive a type of regular pocket money before 16,No,"No, not specifically",Sometimes,No,4,3,4,4,5,5,5,4,4,Exactly £110,4,Decrease,4,Investing in a single company stock,3,It will decrease,4,You have positive cash flow,3,Decentralized digital ledger used to track data,2,Credit card debt,2,Annual Percentage Rate,3,It shows the actual earnings available after taxes and deductions,3,Interest earned on both the original amount an previous interest added,1
5/19/2026 11:42:31,25 / 50,18-24,Female,I did not regularly manage money until after 16 (e.g. through paid work),Not applicable / I did not receive a type of regular pocket money before 16,No,"No, not specifically",Sometimes,No,3,2,3,1,2,3,4,3,2,Exactly £110,4,Decrease,2,Investing in a single company stock,4,"Not sure, would rather not guess",3,You have positive cash flow,3,It reflects your full summary before any payroll withholdings,1,Student loan,4,Annual Percentage Rate,2,It lists your average spending habits over a set time period,2,Interest earned on both the original amount an previous interest added,3
5/19/2026 11:53:01,40 / 50,18-24,Female,Between ages 5-11,Yes sometimes,No,"No, not specifically",Never,No,3,3,3,1,3,2,4,2,2,Exactly £110,3,Decrease,5,Investing in multiple company stocks,5,It will decrease,5,You have positive cash flow,4,Decentralized digital ledger used to track data,4,Credit card debt,5,Annual Percentage Rate,5,It shows the actual earnings available after taxes and deductions,5,Interest earned on both the original amount an previous interest added,5
5/19/2026 12:00:01,40 / 50,18-24,Female,Between ages 12-16,No,No,"Yes, through a short course (lasting weeks/months)",Sometimes,"Yes, Budgeting and saving ",4,3,5,2,4,4,4,5,5,More than £110,3,Decrease,4,Investing in multiple company stocks,4,It will decrease,2,You have positive cash flow,5,It shows the actual earnings available after taxes and deductions,1,Credit card debt,3,Annual Percentage Rate,5,It shows the actual earnings available after taxes and deductions,2,Interest earned on both the original amount an previous interest added,5
5/19/2026 12:05:32,35 / 50,18-24,Female,Between ages 12-16,Yes often,Yes,"No, not specifically",Often,No,3,2,5,4,3,4,5,5,3,Exactly £110,5,Decrease,3,Investing in a single company stock,3,"Not sure, would rather not guess",3,You have positive cash flow,4,It reflects your full summary before any payroll withholdings,2,Credit card debt,5,Annual Percentage Rate,5,It shows the actual earnings available after taxes and deductions,5,Interest earned on both the original amount an previous interest added,5
5/19/2026 12:13:46,40 / 50,18-24,Male,Between ages 12-16,Yes sometimes,No,"No, not specifically",Never,No,4,4,5,3,5,5,5,5,3,Exactly £110,4,Decrease,5,Investing in a single company stock,5,It will decrease,5,You have positive cash flow,4,Digital system for recording financial transactions,1,Credit card debt,4,Annual Percentage Rate,4,It shows the actual earnings available after taxes and deductions,5,Interest earned on both the original amount an previous interest added,4
5/19/2026 12:22:51,30 / 50,45+,Male,Between ages 12-16,Yes sometimes,No,"No, not specifically",Sometimes,Yes,5,3,3,3,5,5,3,3,3,Exactly £110,3,Decrease,3,Investing in a single company stock,5,It will stay the same,3,You have positive cash flow,3,Digital system for recording financial transactions,3,Credit card debt,3,Annual Percentage Rate,5,It shows the actual earnings available after taxes and deductions,3,Interest earned only on the original amount,3
5/19/2026 13:06:32,50 / 50,18-24,Male,Between ages 5-11,Yes sometimes,Yes,"No, not specifically",Sometimes,"Yes, I would be conscious of money I had and aim to save if I could ",3,3,4,3,4,4,4,2,2,More than £110,5,Decrease,5,Investing in a single company stock,5,It will decrease,5,You have positive cash flow,5,Decentralized digital ledger used to track data,4,Credit card debt,4,Annual Percentage Rate,4,It shows the actual earnings available after taxes and deductions,4,Interest earned on both the original amount an previous interest added,5
5/19/2026 13:37:45,25 / 50,35-44,Female,I did not regularly manage money until after 16 (e.g. through paid work),Not applicable / I did not receive a type of regular pocket money before 16,No,"No, not specifically",Never,No,4,4,2,1,4,4,2,2,2,Exactly £110,3,Decrease,3,Investing in a single company stock,3,It will decrease,3,You have negative cash flow leading to deficit,2,It shows the actual earnings available after taxes and deductions,1,Student loan,1,Annual Percentage Rate,3,It shows the actual earnings available after taxes and deductions,3,Interest earned only on the original amount,1
5/19/2026 13:55:01,50 / 50,25-34,Male,I did not regularly manage money until after 16 (e.g. through paid work),Not applicable / I did not receive a type of regular pocket money before 16,No,"No, not specifically",Never,No,3,4,4,2,4,3,4,3,2,More than £110,5,Decrease,5,Investing in a single company stock,5,It will decrease,5,You have positive cash flow,5,Decentralized digital ledger used to track data,5,Credit card debt,5,Annual Percentage Rate,5,It shows the actual earnings available after taxes and deductions,5,Interest earned on both the original amount an previous interest added,5
5/19/2026 14:04:22,50 / 50,18-24,Male,I did not regularly manage money until after 16 (e.g. through paid work),Not applicable / I did not receive a type of regular pocket money before 16,No,"Yes, through a short course (lasting weeks/months)",Sometimes,"Yes, While working before 18 I contributed to my savings",4,4,5,3,4,5,5,4,3,More than £110,5,Decrease,4,Investing in a single company stock,5,It will decrease,5,You have positive cash flow,5,Decentralized digital ledger used to track data,3,Credit card debt,4,Annual Percentage Rate,3,It shows the actual earnings available after taxes and deductions,4,Interest earned on both the original amount an previous interest added,5
5/19/2026 14:21:16,25 / 50,35-44,Female,I did not regularly manage money until after 16 (e.g. through paid work),Yes sometimes,No,"No, not specifically",Never,No,3,2,2,1,3,4,3,3,2,Less than £110,3,Decrease,5,Investing in a single company stock,4,"Not sure, would rather not guess",1,You have negative cash flow leading to deficit,5,Digital system for recording financial transactions,1,Student loan,2,Annual Percentage Rate,3,It shows the actual earnings available after taxes and deductions,2,Interest earned on both the original amount an previous interest added,2
5/19/2026 14:30:08,15 / 50,35-44,Female,Between ages 12-16,Yes often,No,"No, not specifically",Never,No,5,4,4,1,3,4,4,3,2,Less than £110,1,Increase,2,Investing in multiple company stocks,2,It will increase,2,You have positive cash flow,3,Digital system for recording financial transactions,2,Credit card debt,2,Average Payment Ratio,2,It shows the actual earnings available after taxes and deductions,2,A type of insurance,1
5/19/2026 14:44:56,45 / 50,18-24,Female,Between ages 5-11,No,No,"No, not specifically",Sometimes,"Yes, I would budget how much of my weekly pocket money would go towards quick small things now (like sweets), and how much I would save to be able to afford the bigger things (like a toy) when I find them.",4,5,5,4,4,4,5,5,3,More than £110,5,Decrease,3,Investing in a single company stock,5,It will decrease,4,You have positive cash flow,4,Decentralized digital ledger used to track data,1,Credit card debt,2,Annual Profit Return,1,It shows the actual earnings available after taxes and deductions,4,Interest earned on both the original amount an previous interest added,5
5/19/2026 14:48:27,50 / 50,35-44,Female,Between ages 5-11,Yes sometimes,Yes,"No, not specifically",Often,"Yes, Saving/ budgeting ",4,4,3,1,5,5,4,3,3,More than £110,5,Decrease,5,Investing in a single company stock,5,It will decrease,5,You have positive cash flow,3,Decentralized digital ledger used to track data,1,Credit card debt,5,Annual Percentage Rate,5,It shows the actual earnings available after taxes and deductions,5,Interest earned on both the original amount an previous interest added,5
5/19/2026 14:50:19,25 / 50,18-24,Male,Between ages 12-16,Yes sometimes,No,"No, not specifically",Never,Yes,5,4,5,5,3,2,4,3,3,I don't know,5,Decrease,4,Investing in multiple company stocks,4,It will decrease,4,You have zero cash flow,4,It shows the actual earnings available after taxes and deductions,1,Student loan,1,Annual Percentage Rate,5,It shows the actual earnings available after taxes and deductions,4,Interest earned on both the original amount an previous interest added,1
5/19/2026 15:12:39,30 / 50,18-24,Female,Between ages 12-16,Yes sometimes,No,"Yes, through a short course (lasting weeks/months)",Sometimes,Yes,3,2,4,4,3,3,4,3,4,I don't know,4,Decrease,3,Investing in multiple company stocks,3,It will decrease,3,You have positive cash flow,3,It shows the actual earnings available after taxes and deductions,3,Student loan,3,Annual Percentage Rate,3,It shows the actual earnings available after taxes and deductions,3,Interest earned on both the original amount an previous interest added,3
5/19/2026 15:16:38,30 / 50,18-24,Male,Between ages 12-16,Yes sometimes,No,"No, not specifically",Sometimes,No,5,5,5,5,5,5,5,5,5,More than £110,5,Increase,5,Investing in a single company stock,3,It will decrease,4,You have positive cash flow,5,Digital system for recording financial transactions,1,Mortgage,2,Annual Profit Return,2,It shows the actual earnings available after taxes and deductions,3,Interest earned on both the original amount an previous interest added,5
5/19/2026 15:34:12,20 / 50,35-44,Female,I did not regularly manage money until after 16 (e.g. through paid work),Yes sometimes,No,"No, not specifically",Sometimes,Yes,4,3,2,1,3,2,2,2,2,More than £110,3,Increase,3,Investing in a single company stock,3,It will increase,3,You have positive cash flow,4,Digital system for recording financial transactions,1,Student loan,1,Average Payment Ratio,3,It shows the actual earnings available after taxes and deductions,4,Interest earned only on the original amount,1
5/19/2026 15:39:10,25 / 50,45+,Female,Between ages 12-16,No,No,Family,Sometimes,Yes,5,4,5,3,4,5,5,4,5,I don't know,2,Increase,4,Investing in a single company stock,3,"Not sure, would rather not guess",5,You have positive cash flow,4,Decentralized digital ledger used to track data,4,Student loan,3,Annual Percentage Rate,3,It shows the actual earnings available after taxes and deductions,4,Interest earned only on the original amount,3
5/19/2026 15:55:14,30 / 50,45+,Female,Between ages 12-16,Not applicable / I did not receive a type of regular pocket money before 16,No,"No, not specifically",Never,Yes,5,5,5,3,5,5,5,2,4,Exactly £110,3,Decrease,3,Investing in a single company stock,4,"Not sure, would rather not guess",3,You have positive cash flow,5,Digital system for recording financial transactions,1,Credit card debt,4,Annual Percentage Rate,4,It shows the actual earnings available after taxes and deductions,5,Interest earned only on the original amount,3
5/19/2026 15:57:49,50 / 50,25-34,Male,Between ages 12-16,Yes sometimes,Yes,"No, not specifically",Sometimes,"Yes, Managing my own money, spending per week, month etc.",5,4,4,4,4,4,4,4,4,More than £110,5,Decrease,4,Investing in a single company stock,5,It will decrease,3,You have positive cash flow,5,Decentralized digital ledger used to track data,4,Credit card debt,4,Annual Percentage Rate,3,It shows the actual earnings available after taxes and deductions,3,Interest earned on both the original amount an previous interest added,5
5/19/2026 16:10:02,45 / 50,35-44,Male,I did not regularly manage money until after 16 (e.g. through paid work),Not applicable / I did not receive a type of regular pocket money before 16,No,"No, not specifically",Never,No,2,2,3,2,2,2,4,3,1,More than £110,4,Decrease,4,Investing in a single company stock,5,It will decrease,4,You have positive cash flow,4,Decentralized digital ledger used to track data,4,Mortgage,1,Annual Percentage Rate,4,It shows the actual earnings available after taxes and deductions,4,Interest earned on both the original amount an previous interest added,5
5/19/2026 16:25:45,50 / 50,35-44,Female,Between ages 12-16,Yes sometimes,Yes,"No, not specifically",Sometimes,"Yes, Budgeting and saving ",4,5,5,5,4,4,4,4,4,More than £110,4,Decrease,4,Investing in a single company stock,4,It will decrease,3,You have positive cash flow,4,Decentralized digital ledger used to track data,3,Credit card debt,3,Annual Percentage Rate,4,It shows the actual earnings available after taxes and deductions,3,Interest earned on both the original amount an previous interest added,4
5/19/2026 17:38:44,35 / 50,18-24,Female,Between ages 12-16,No,No,"No, not specifically",Sometimes,No,5,4,5,4,4,5,4,5,3,Exactly £110,4,Decrease,3,Investing in multiple company stocks,4,It will decrease,3,You have positive cash flow,3,Digital system for recording financial transactions,3,Credit card debt,3,Annual Percentage Rate,3,It shows the actual earnings available after taxes and deductions,3,Interest earned on both the original amount an previous interest added,3
5/19/2026 17:45:27,40 / 50,45+,Female,I did not regularly manage money until after 16 (e.g. through paid work),Not applicable / I did not receive a type of regular pocket money before 16,No,"No, not specifically",Never,No,3,4,5,5,5,3,5,5,3,More than £110,3,Decrease,5,Investing in a single company stock,5,It will decrease,4,You have positive cash flow,4,Digital system for recording financial transactions,5,Credit card debt,4,Annual Profit Return,1,It shows the actual earnings available after taxes and deductions,5,Interest earned on both the original amount an previous interest added,3
5/19/2026 18:22:21,35 / 50,18-24,Female,I did not regularly manage money until after 16 (e.g. through paid work),Not applicable / I did not receive a type of regular pocket money before 16,No,"No, not specifically",Sometimes,No,3,1,2,1,3,4,4,2,2,Less than £110,2,Decrease,2,Investing in a single company stock,2,It will decrease,1,You have positive cash flow,1,It shows the actual earnings available after taxes and deductions,1,Credit card debt,1,Annual Percentage Rate,2,It shows the actual earnings available after taxes and deductions,1,Interest earned only on the original amount,1
5/19/2026 18:50:02,45 / 50,18-24,Female,Between ages 12-16,Yes often,No,"No, not specifically",Sometimes,"Yes, Budgeting and saving",3,2,3,2,3,4,3,4,3,More than £110,3,Decrease,4,Investing in a single company stock,3,It will decrease,3,You have positive cash flow,4,It shows the actual earnings available after taxes and deductions,2,Credit card debt,4,Annual Percentage Rate,2,It shows the actual earnings available after taxes and deductions,4,Interest earned on both the original amount an previous interest added,4
5/19/2026 20:05:48,20 / 50,18-24,Female,I did not regularly manage money until after 16 (e.g. through paid work),Not applicable / I did not receive a type of regular pocket money before 16,No,"No, not specifically",Often,Yes,4,3,4,3,3,3,4,2,4,More than £110,3,Decrease,3,Investing in multiple company stocks,3,"Not sure, would rather not guess",5,You have zero cash flow,3,Digital system for recording financial transactions,3,Student loan,5,Annual Profit Return,4,It shows the actual earnings available after taxes and deductions,3,Interest earned on both the original amount an previous interest added,4
5/19/2026 20:51:44,35 / 50,35-44,Female,Between ages 12-16,No,No,"No, not specifically",Often,"Yes, When i wanted something had to save my own money ",4,3,4,2,4,3,4,3,3,I don't know,4,Decrease,3,Investing in a single company stock,3,"Not sure, would rather not guess",3,You have positive cash flow,3,It reflects your full summary before any payroll withholdings,1,Credit card debt,3,Annual Percentage Rate,5,It shows the actual earnings available after taxes and deductions,4,Interest earned on both the original amount an previous interest added,2
5/19/2026 21:16:26,40 / 50,45+,Female,Between ages 12-16,Yes sometimes,Yes,"No, not specifically",Never,Yes,4,4,4,4,5,4,4,4,4,Exactly £110,3,Decrease,3,Investing in a single company stock,3,It will decrease,2,You have positive cash flow,3,It shows the actual earnings available after taxes and deductions,2,Credit card debt,3,Annual Percentage Rate,5,It shows the actual earnings available after taxes and deductions,5,Interest earned on both the original amount an previous interest added,5
5/19/2026 21:22:57,40 / 50,18-24,Female,I did not regularly manage money until after 16 (e.g. through paid work),Not applicable / I did not receive a type of regular pocket money before 16,No,"No, not specifically",Never,"Yes, Before the age of 18, i set up budgeting withing my online banking. I also had a savings account where i would deposit minimum £50pm",5,4,4,2,4,5,5,5,5,More than £110,5,Decrease,3,Investing in a single company stock,5,It will decrease,5,You have positive cash flow,5,Digital system for recording financial transactions,2,Mortgage,3,Annual Percentage Rate,5,It shows the actual earnings available after taxes and deductions,5,Interest earned on both the original amount an previous interest added,5
